作業量,難易度,何が難しかったか(自由),他にやってみたいこと(自由記述),構築勉強会参加しますか??,シェル勉強会参加しますか?,作業経験,普段使用しているOS,コメント
(a)少ない,i.やさしい,,,(a)はい,(a)はい,(a)初めて,(a)Windows,
(b)やや少ない,ii.やや、やさしい,,,(b)いいえ,(b)いいえ,(b)Unixを初めて触った,(b)MacOSX,
(c)ちょうどよい,"iii,やや、難しい",,,,,(c)Unixを普段使っているがコマンド操作は初めて,(c)Linux,
(d)やや多い,iv.難しい,,,,,(d)その他,(d)BSD Unix,
(e)多い,,,,,,,(e)その他,
問1,問2(1),問2(2),問3,問4,問5,問7,問8,問9
c,iii,,,b,b,b,a,
d,iii,,,b,b,a,a,
c,iii,,,b,b,a,a,教科書とても分かりやすかった
c,iii,,,b,b,a,a,
d,iii,,,a,a,a,a,
e,iii,,,a,b,a,a,
e,iv,自分がいま何のコマンドを打ち、何をしようとしているのかがわからず、ただページを移すだけになっている。それをやる目的の説明が欲しい。,,b,b,a,a,
c,iii,,,a,a,b,b,
b,iii,,,b,b,b,a,
c,ii,,,a,a,a,a,
a,iii,時間が...足りない...,,b,b,b,b,
c,iv,発展課題のレベルが高い(気がした),CGIプログラムをもっと充実させたい。,b,b,b,a,
c,ii,,,,,b,a,
b,ii,,,b,b,"a,b",a,
c,iii,,自宅ファイルサーバの構築,b,b,a,a,この手の分野(プログラミングを含めて)は大学に入る前にやってきてなかったのでマニュアルがあって助かった。
c,iii,,,a,b,d(Ubuntuを使ったサーバサイドの勉強をしている),"a,b",
c,iv,理解できないものが多い,,a,a,b,a,
c,ii,,,a,b,a,a,TA、SAを増員してほしいです。
c,iii,,,b,b,a,a,
c,ii,,興味はあるが具体的にはわからなかったです。,b,b,a,a,
c,iii,文章の説明が読みづらい,特になし,a,a,a,a,
c,iii,もう少しコマンドについて知りたかったです。,特にないです。,b,b,(d)(一度CentOSのインストール設定をしたことがある。),a,特にないです。
c,iii,,,a,b,a,a,
c,iii,コマンドの理解など,,b,b,a,a,
c,iii,,シェルプログラミングについて0からどのようなものかわかるような講義が受けたいです。,a,a,b,a,
d,iii,,,a,b,a,a,
b,ii,,,a,b,"a,b",a,
c,i,,シェルプログラミングやってみたいと思いました。,a,a,a,a,シス管系女子読み始めました。
問1,問2(1),問2(2),問3,問4,問5,問7,問8,問9
c,iii,間違えていたとき、どこが間違えていたかを探すこと。言葉を調べても、欲しい情報が出てこなくて苦戦した。,,a,b,"a,b",e(iOS),
b,iii,,自分でサーバを作ってみたい,a,a,c,"a,b,c",
d,ii,説明不足な部分で、操作に手まどってしまった.,twitterクライアント作ってみたい,b,b,c,a,
c,ii,,,a,a,d(FreeBSDでsambaを動かしたことがある),"a,c(debian),d(FreeBSD)",シェル勉強会が入っていない時間にやってほしい。（5講時とか...）
c,iii,,,a,b,b,a,
c,iii,,,a,a,d(アルバイトで触り始めた),a,
d,iii,調べる課題の解答が口頭のみであまり理解できなかった.,,b,b,"a,b",a,
b,i,,,a,a,b,a,
c,i,,,b,b,b,a,
c,iii,「#」と「$」ときの文字の入力と削除の統一性がないところ,,a,a,b,a,
d,iii,,,b,b,"a,b",a,
c,iii,3週目の課題,,b,a,a,,
c,i,,,,,"a,b",a,
a,i,,,a,a,a,"a,b",
c,iii,,,b,b,a,a,
c,iii,viコマンド等、説明が少ない箇所が多々あったため、作業に手間取った,,a,b,b,a,
b,ii,,ファイルサーバやNASの構築,a,a,b,"a,b",
d,iii,グループワークの課題の答えを見つけること,,b,b,a,a,
c,iii,,,b,b,b,a,
c,iii,,,b,b,a,"a,b",
c,iv,何をしているのかわからないことがあったから。,,b,b,"a,b",a,
c,iii,,,b,b,b,a,
c,iii,,,a,a,b,a,
b,ii,,ポータルサイトの作成,a,a,a,a,
c,ii,,,a,a,a,a,
b,ii,,,a,a,b,b,
c,ii,,,a,a,a,a,
c,ii,,,,b,,a,
,,,,,,,,
問1,問2(1),問2(2),問3,問4,問5,問7,問8,問9
c,iii,,,b,b,"a,b",a,
b,i,,自宅ファイルサーバの構築,a,a,a,a,
b,ii,,,b,b,"a,b",a,
c,iii,,,b,b,a,a,
c,ii,,,a,a,b,a,
c,iii,,,b,b,"a,b,c",a,
c,i,,twitterクライアント作ってみたいです,a,a,a,a,
c,iii,,,b,b,a,a,
c,iii,,NASに興味がある。,a,b,d(サーバの中身をいじったことがない),a,
c,ii,,,b,b,b,a,
c,ii,,,b,b,a,a,
c,ii,,,b,b,a,a,
c,iii,,,a,a,"a,b",a,
c,i,,twitterクライアントを作るやってみたい,a,a,b,a,
c,iii,,,b,b,"a,b",a,システムに親近感が湧いたので、良いないようだと思います。
c,iii,,,b,b,a,a,
c,ii,,業務用のネットワーク機材CISCO 6509を設定してみたいです,b,b,d(1.2年の講義で少し触れた),a,
b,i,,目に見えてわかるような体験をしてみたかった,b,b,b,a,
c,iii,,,a,a,"a,b",a,
c,iii,,,b,b,b,"a,b",
b,ii,,,b,b,b,b,
b,i,,シェルプログラミング,a,a,a,a,
c,iii,もっと内容を理解したい,ネットワーク関係を極めたい。座学からやって、理解して実際に手をうごかす。,a,a,d(簡単なものしかやったことがない),b,
c,ii,,,a,a,b,b,
c,iii,何をやっているかわからなくなった,,b,b,"a,b,c",a,
b,ii,,特にありません,b,b,b,a,
